frame_id,t_sec,cx,cy,x1,y1,x2,y2,conf
84,2.800000,764.72,605.76,742.39,584.44,787.04,627.08,0.9227
85,2.833333,768.80,638.32,746.63,616.65,790.97,659.99,0.9274
86,2.866667,771.38,671.30,749.95,649.24,792.81,693.36,0.9509
87,2.900000,776.10,706.77,753.65,684.33,798.55,729.21,0.9439
88,2.933333,778.91,744.93,756.51,722.69,801.30,767.17,0.9282
89,2.966667,783.85,763.13,762.34,740.72,805.36,785.55,0.9237
90,3.000000,788.77,731.44,766.67,709.26,810.87,753.61,0.9336
91,3.033333,795.59,702.08,774.21,680.78,816.97,723.38,0.9310
92,3.066667,800.74,675.87,779.39,654.52,822.08,697.21,0.8807
93,3.100000,807.16,650.19,785.11,628.18,829.20,672.19,0.8986
