epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,117.698,0.64443,0.83075,0.77673,0.99718,0.98913,0.99479,0.84633,0.59823,0.51238,0.78996,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
32,121.432,0.68416,0.86438,0.7994,0.998,0.98913,0.99489,0.8273,0.63737,0.53145,0.79129,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275
33,125.187,0.62961,0.82367,0.78703,0.99839,0.98913,0.99479,0.83663,0.59331,0.50166,0.79016,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
34,128.974,0.63047,0.79866,0.78534,0.99868,0.98913,0.99479,0.85126,0.59074,0.50772,0.78962,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325
35,132.748,0.64761,0.75492,0.79646,0.99902,0.98913,0.99489,0.84008,0.5972,0.48514,0.78766,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
36,136.606,0.63309,0.74708,0.79213,0.99879,0.98913,0.99489,0.84621,0.59039,0.4791,0.78726,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375
37,140.225,0.61831,0.7456,0.79217,1,0.99815,0.995,0.83506,0.61591,0.49254,0.78938,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
38,144.002,0.5985,0.74959,0.78336,1,0.99782,0.995,0.84628,0.58918,0.48254,0.78811,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425
39,147.804,0.6171,0.78078,0.77498,0.99887,0.98913,0.99489,0.83766,0.6,0.50051,0.78896,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
40,151.589,0.62434,0.73771,0.78373,0.9984,0.98913,0.99489,0.83531,0.61442,0.496,0.7874,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475
41,155.17,0.60364,0.72393,0.78887,0.99826,0.98913,0.99489,0.83521,0.593,0.48458,0.78725,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
42,158.969,0.61712,0.71117,0.79117,1,0.99849,0.995,0.84435,0.56908,0.4622,0.78591,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525
43,162.771,0.58395,0.68211,0.78369,1,0.9987,0.995,0.83908,0.57659,0.46947,0.78605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
44,166.536,0.59254,0.69525,0.77953,1,0.99869,0.995,0.83531,0.57692,0.45471,0.78677,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575
45,170.099,0.57309,0.69787,0.76786,1,0.9987,0.995,0.83827,0.56204,0.46747,0.78744,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
46,173.859,0.57831,0.6776,0.77749,1,0.99905,0.995,0.84765,0.57169,0.4649,0.78554,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625
47,177.619,0.57517,0.65446,0.77823,1,0.99926,0.995,0.83492,0.56884,0.44891,0.78479,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
48,181.34,0.5868,0.67489,0.77315,1,0.99941,0.995,0.83856,0.58034,0.45126,0.78586,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675
49,184.991,0.63011,0.68451,0.77815,1,0.99938,0.995,0.8398,0.57642,0.44602,0.7867,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
50,188.746,0.57067,0.6447,0.77673,1,0.99908,0.995,0.84064,0.56484,0.4514,0.78466,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725
51,192.586,0.55535,0.60492,0.77609,1,0.99873,0.995,0.85179,0.55388,0.44996,0.78421,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
52,196.462,0.56428,0.61798,0.77438,1,0.99818,0.995,0.8475,0.56014,0.45169,0.78547,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775
53,200.091,0.55708,0.60977,0.78866,1,0.99831,0.995,0.85618,0.55089,0.45227,0.78457,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
54,203.822,0.57052,0.59763,0.77977,1,0.99863,0.995,0.84359,0.5553,0.44857,0.78617,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825
55,207.553,0.55879,0.59999,0.76989,1,0.99893,0.995,0.8498,0.5683,0.44194,0.78558,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
56,211.247,0.56428,0.59313,0.79069,1,0.99907,0.995,0.85888,0.54438,0.42943,0.78512,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875
57,214.704,0.53206,0.56381,0.77152,1,0.99904,0.995,0.85267,0.5458,0.43585,0.78461,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
58,218.43,0.53589,0.58215,0.77139,1,0.99904,0.995,0.85312,0.54234,0.42357,0.78389,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925
59,222.228,0.55867,0.58153,0.79436,1,0.99923,0.995,0.84703,0.53734,0.42161,0.78418,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
60,225.922,0.53339,0.57498,0.78049,1,0.99957,0.995,0.85104,0.54516,0.42982,0.78335,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975
61,229.481,0.56861,0.60835,0.76986,1,0.99944,0.995,0.84994,0.55129,0.43747,0.78497,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
62,233.288,0.50481,0.56859,0.77079,1,0.99949,0.995,0.86388,0.53557,0.43089,0.78279,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025
63,237.063,0.54343,0.58303,0.7789,1,0.99919,0.995,0.86698,0.53683,0.42713,0.78224,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655
